mean intensity (a.u.),time (s),trial,normalized intensity (a.u.)
786.469375,-3.76,0,1.0146760628665648
766.556875,-3.572,0,0.9889856320067103
777.139375,-3.384,0,1.0026388139062412
787.6975,-3.196,0,1.0162605480090512
769.59875,-3.008,0,0.9929101557667515
777.4,-2.82,0,1.0029750634250285
776.26375,-2.632,0,1.0015091122855677
776.08375,-2.444,0,1.001276882402089
779.788125,-2.2560000000000002,0,1.0060561411499345
774.9125,-2.068,0,0.9997657754519519
766.118125,-1.88,0,0.9884195716657305
788.63375,-1.692,0,1.0174684659446462
765.11875,-1.504,0,0.9871302120001653
772.9225,-1.316,0,0.9971983450734906
780.805,-1.1280000000000001,0,1.007368078720838
771.124375,-0.94,0,0.9948784652999877
789.39375,-0.752,0,1.018448992119335
749.14,-0.5640000000000001,0,0.9665149717188395
771.620625,-0.376,0,0.9955187101870789
766.8225,-0.188,0,0.9893283323555941
136.94,0.0,0,0.1766753346866779
188.10375,0.188,0,0.24268506635803408
237.389375,0.376,0,0.30627170497434125
278.89125,0.5640000000000001,0,0.35981601383770967
312.275,0.752,0,0.40288659368542673
351.315,0.94,0,0.4532546750799638
378.07375,1.1280000000000001,0,0.48777790504963775
397.959375,1.316,0,0.5134336626977228
432.2325,1.504,0,0.5576516839488791
447.341875,1.692,0,0.5771452861471522
482.616875,1.88,0,0.6226558924789221
503.11,2.068,0,0.6490954259837485
518.034375,2.2560000000000002,0,0.668350347468446
526.501875,2.444,0,0.6792748282370998
547.42625,2.632,0,0.7062707458377611
541.081875,2.82,0,0.6980854487988916
546.874375,3.008,0,0.7055587354658448
583.546875,3.196,0,0.7528723488096246
580.4775,3.384,0,0.7489123454840518
592.01875,3.572,0,0.7638024740546129
603.156875,3.76,0,0.7781725044486326
619.029375,3.948,0,0.7986506645904048
615.16375,4.136,0,0.7936633665719429
616.634375,4.324,0,0.795560716974116
624.735625,4.5120000000000005,0,0.8060126744381911
630.204375,4.7,0,0.8130682698563872
625.81125,4.888,0,0.80740040926273
642.351875,5.076,0,0.8287405615761653
638.476875,5.264,0,0.8237411682512721
646.293125,5.452,0,0.8338254283998391
654.61125,5.64,0,0.8445571906193559
649.038125,5.828,0,0.8373669341228924
659.26375,6.016,0,0.8505596880242758
671.571875,6.204,0,0.8664392126609085
664.469375,6.392,0,0.8572758085086365
674.126875,6.58,0,0.8697355868402897
684.63375,6.768,0,0.883291199934609
665.19625,6.956,0,0.858213597933935
666.08375,7.144,0,0.859358620276088
680.143125,7.332,0,0.8774975481540676
677.24375,7.52,0,0.8737568730517804
669.185625,7.708,0,0.8633605539972887
692.639375,7.896,0,0.8936197852730859
677.098125,8.084,0,0.8735689926252159
681.778125,8.272,0,0.8796069695956676
712.434375,8.46,0,0.9191586216256696
700.606875,8.648,0,0.9038991830320761
686.571875,8.836,0,0.8857917029508178
708.29125,9.024000000000001,0,0.9138133025368442
684.574375,9.212,0,0.8832145963272116
703.098125,9.4,0,0.9071133091277253
685.2525,9.588,0,0.8840894901590679
701.4325,9.776,0,0.9049643763517833
710.688125,9.964,0,0.9169056692144193
706.396875,10.152,0,0.9113692442839811
696.079375,10.34,0,0.8980579563795719
716.875,10.528,0,0.9248877651052447
695.0075,10.716,0,0.8966750596776055
705.43875,10.904,0,0.9101331039667132
698.56375,11.092,0,0.9012632125838381
706.0825,11.28,0,0.9109636483416551
704.45125,11.468,0,0.9088590650226274
724.563125,11.656,0,0.9348067227325854
709.536875,11.844,0,0.9154203655846688
716.79,12.032,0,0.9247781009936019
729.60625,12.22,0,0.9413131912388053
722.58625,12.408,0,0.9322562257831276
718.1375,12.596,0,0.9265165997046455
724.4825,12.784,0,0.934702703097277
727.495,12.972,0,0.9385893282305005
733.1425,13.16,0,0.9458755408246514
739.439375,13.348,0,0.9539995549776028
741.853125,13.536,0,0.957113693206754
739.12,13.724,0,0.9535875082051801
731.4925,13.912,0,0.9437467668927613
724.104375,14.1,0,0.9342148590712189
722.691875,14.288,0,0.9323924995689191
730.17375,14.476,0,0.9420453604547735
745.434375,14.664,0,0.96173410026347
723.50125,14.852,0,0.9334367276908122
741.663125,15.04,0,0.9568685616630819
730.761875,15.228,0,0.9428041393448904
716.35375,15.416,0,0.9242152660676705
731.870625,15.604,0,0.9442346109188194
730.394375,15.792,0,0.9423300033327875
724.560625,15.98,0,0.934803497317537
733.061875,16.168,0,0.945771521189343
732.389375,16.356,0,0.9449038845413454
724.395625,16.544,0,0.934590619924348
726.51625,16.732,0,0.9373265782390839
731.390625,16.92,0,0.9436153312295423
728.801875,17.108,0,0.9402754139470089
732.945,17.296,0,0.9456207330358343
721.8525,17.484,0,0.9313095664664462
736.44125,17.672,0,0.9501314759809072
